,id,name,BruDataSci_member,interests,connectedness,activity_L2,connectedness_L2,interests_members_L2,activity,interests_L2
51,32243802,Andrés Taylor,False,0.0,53.0,0.00776740220764,0.00521314230038,0.0038555665374,9.0,0.0
52,178618462,Lucile MB,False,0.0,21.0,0.00231414966443,0.0014513488163,0.00170406064635,15.0,0.0
53,44826722,Eric,False,0.0,22.0,0.0,9.3635139192e-05,0.000573139954565,0.0,0.0
54,110067812,Jake,False,0.0,22.0,0.0,9.3635139192e-05,0.000450585530216,0.0,0.0
55,45241702,alexandra martin,False,0.0,34.0,0.000329305566361,0.000493352185587,0.000705148070635,4.0,0.0
56,9601126,Andrew Howard ,False,0.0,30.0,0.0,0.000133865890736,0.0,0.0,0.0
57,142803052,Tess,False,0.0,82.0,0.000190943754421,0.000509359398379,0.000895789770763,2.0,0.0
58,151774222,Pierre,False,0.111111111111,223.0,0.0067689688816,0.00790342880003,0.0111359456506,31.0,0.0087720518219
59,131727472,Hendrik Ballegeer,True,0.129032258065,514.0,0.0462262278811,0.0346339726078,0.0192819638485,130.0,0.0283299239908
60,131924082,Joris Poelmans,False,0.266666666667,223.0,0.0,0.00790342880003,0.0294404936831,0.0,0.0266415344617
61,123601012,Juan Felipe Godoy Zarate,False,0.0,31.0,0.0,0.000188089647748,0.00333978805273,0.0,0.0
62,71893112,Mojtaba Nafezarefi,False,0.0,83.0,0.0,0.000715835512317,0.000351599269619,0.0,0.0
63,150241402,Nathalie Sysmans,False,0.0,90.0,0.00210021059375,0.00108850639062,0.000763125886488,5.0,0.0
64,10873535,Florent,False,0.0,52.0,0.0,0.000160867520989,0.000178487099378,0.0,0.0
65,34603132,Judit  Borrego Ribas,False,0.0,12.0,0.0,0.000180673105983,8.23193346448e-05,0.0,0.0
66,61046912,Sophie,False,0.0,61.0,0.000612049531772,0.00147468028133,0.00456609266869,2.0,0.0
67,10813570,Jane,False,0.0,20.0,0.0,0.000176080234843,0.0,0.0,0.0
68,52101252,dirk,False,0.0,86.0,0.000171775758181,0.000260919271446,0.00167072392411,3.0,0.0
69,144588822,Matt Clarke,False,0.0,60.0,0.000190943754421,0.000189670662691,0.00106126514013,2.0,0.0
70,25919622,Patrick Sledz,False,0.0,89.0,0.000640595723919,0.00142289285144,0.00318371666619,5.0,0.0
71,72155272,Stella,False,0.0,38.0,0.000363176860827,0.000228683442683,0.000593701720443,1.0,0.0
72,181665932,Fabsquire,False,0.0,19.0,0.0,0.00022184251346,0.00170591606259,0.0,0.0
73,130411202,Emily Craps,False,0.05,15.0,0.00017937778626,0.000974090911827,0.00519923855361,2.0,0.00567535236516
74,86048912,Paola,False,0.0,229.0,0.00328212567812,0.0032752494271,0.00482132162315,28.0,0.0
75,95223832,Adrineh,False,0.0,4.0,0.0,0.000154816239815,0.0,0.0,0.0
76,164233362,Maria,False,0.0,5.0,0.0,0.000157560640217,0.000869766486864,0.0,0.0
77,89718932,Beatrice,False,0.0,34.0,0.000904240003422,0.000158398852869,0.000659072940709,3.0,0.0
78,141852822,Nev,False,0.0,48.0,0.000212628634587,0.000376408674235,0.00139349750318,1.0,0.0
79,114469572,Lorna,False,0.0,3.0,0.0,5.79405324914e-05,0.000575918236352,0.0,0.0
80,141295772,Ju Liana,False,0.0,22.0,9.26545145354e-05,0.000255106354636,0.0,1.0,0.0
81,89391262,Elena Bostan,False,0.0,32.0,0.0,0.000822657047187,0.000896885722785,0.0,0.0
82,31588512,Luis Alves,False,0.0,68.0,3.84125324808e-05,0.000305970950735,0.000595106951461,1.0,0.0
83,177240992,ilaria,False,0.0,44.0,0.000890705003592,0.000216903381221,0.000809508460636,4.0,0.0
84,180093092,Nicolas Charloteaux,False,0.0,18.0,0.0,0.000220011106734,0.000392241557582,0.0,0.0
85,5417670,Caroline JULIEN,False,0.0,20.0,0.0,0.000176080234843,0.000790116001622,0.0,0.0
86,13238440,Jeremy Royaux,False,0.0,13.0,0.000401221458062,0.00129046493472,0.000428661389842,1.0,0.0
87,154599452,Ilze,False,0.0,48.0,0.000405840114734,0.000344751854433,0.00162569710339,7.0,0.0
88,118259882,Hamza Guardalavarca,False,0.0,58.0,0.0,0.000190817629192,0.00114257150092,0.0,0.0
89,117570362,Vesper,False,0.0,56.0,0.000297490133044,0.000334326585951,0.000612748561774,5.0,0.0
90,150077612,Claudia,False,0.0,32.0,0.0,0.00154580372551,0.000837533066052,0.0,0.0
91,133174642,thibaut,False,0.0,89.0,0.00253830207357,0.00142289285144,0.00376620281447,27.0,0.0
92,36470962,Ruth K Friedman,False,0.0,192.0,0.000241884809915,0.00120818935022,0.00242860125815,4.0,0.0
93,169050292,Karolina,False,0.0,7.0,0.0,0.00177798554761,0.0,0.0,0.0
94,86180022,Mary Johnson,False,0.0,2.0,0.0,9.01179173999e-05,0.0,0.0,0.0
95,91947192,Anne-Marie,False,0.0,25.0,0.0,0.000235919725236,0.0,0.0,0.0
96,113546612,Zuzana,False,0.0,30.0,0.0,0.000475347489625,0.000857389060096,0.0,0.0
97,26312892,Mia ,False,0.0,51.0,0.0,0.00045039749513,0.000877565762856,0.0,0.0
98,114404042,Jess Moore,False,0.0,22.0,0.0,9.3635139192e-05,0.0,0.0,0.0
99,27001022,Iulia Baciu,False,0.0,79.0,0.0,0.00117365988668,0.00481619666308,0.0,0.0
100,70538292,Cristina,False,0.0,88.0,0.000900231799166,0.000840366064582,0.0,3.0,0.0
101,35389632,Carlo Wolny,False,0.0,166.0,0.0026973109236,0.00216341825823,0.00517651109679,46.0,0.0
102,61603872,Lieselotte,False,0.0,26.0,0.0,0.000229291010986,0.0,0.0,0.0
103,137494722,Levien,False,0.0,138.0,0.0,0.000520605555496,0.0,0.0,0.0
104,18579651,Stefan,False,0.0,18.0,0.0,0.000107903579919,0.0,0.0,0.0
105,69075142,Colin Sanders,False,0.235294117647,119.0,0.0205360978469,0.0103443789941,0.0396942961581,74.0,0.0294023650669
106,28967112,Trista,False,0.0,40.0,0.0,0.000142509394955,0.00055334149167,0.0,0.0
107,57540812,Zoe Falconer-Teer,False,0.0,19.0,0.0,8.53258248045e-05,0.000676991828506,0.0,0.0
108,2916558,Loni,False,0.0,73.0,0.0,0.000678965578396,0.00153952439391,0.0,0.0
109,70877392,Taesch,False,0.0862068965517,99.0,0.00127745686963,0.00303414292093,0.0191453379717,7.0,0.0140291425262
110,49971412,Melinda,False,0.0,38.0,0.0,0.000200806881165,0.00105221181388,0.0,0.0
111,123896022,Elie Devlieger,False,0.0,89.0,0.00215646990939,0.00142289285144,0.0,7.0,0.0
112,135266522,Ward Janssens,False,0.0,29.0,0.000639485813309,0.00076819469046,0.00415509708534,2.0,0.0
113,91226332,Alexandre Deléglise,False,0.0,8.0,0.0,0.00033340202363,0.000704164917777,0.0,0.0
114,74612962,Bart Claes,False,0.238095238095,405.0,0.00273718175944,0.00774436138119,0.0253007626977,14.0,0.0225514712608
115,9470180,Anja,False,0.0,52.0,0.0,0.000160867520989,0.0,0.0,0.0
116,84334542,simona festa,False,0.0,50.0,0.0,0.000219165007199,0.000472276119901,0.0,0.0
117,132907242,Lucie Angelini,False,0.0,65.0,0.000224032969614,0.000333006946729,0.000346117358078,3.0,0.0
118,108584632,Adela,False,0.0,10.0,0.00118936956442,0.000122915764596,0.00047709205412,1.0,0.0
119,174538792,Martin Charlier,False,0.0,113.0,0.0,0.00025427846906,0.000410342590345,0.0,0.0
120,25723122,MASIALA PINELOPI,False,0.0,22.0,0.0,9.3635139192e-05,0.00351936119449,0.0,0.0
121,18055411,Nadia,False,0.0,93.0,0.0,0.000622129176838,0.00111861535417,0.0,0.0
122,51314932,daveOC,False,0.0,2.0,0.0,9.01179173999e-05,0.0,0.0,0.0
123,14221558,Stijn Michiels,False,0.0,11.0,0.0,0.00122215291408,0.00320679943532,0.0,0.0
124,146407672,LAURENT,False,0.0,46.0,0.0,0.000169773220765,0.0005591973165,0.0,0.0
