cluster_id,link_score,meetup_id,twitter_id,source_1,source_2
0.0,0.9485184550285339,10526458.0,5477422.0,data/meetup_members.json,data/twitter_followers.json
1.0,0.9445141553878784,161688822.0,1372628305.0,data/meetup_members.json,data/twitter_followers.json
2.0,0.9161441922187805,14276831.0,245844592.0,data/meetup_members.json,data/twitter_followers.json
3.0,0.9129931926727295,83915892.0,577195836.0,data/meetup_members.json,data/twitter_followers.json
4.0,0.9109708666801453,134103082.0,39454422.0,data/meetup_members.json,data/twitter_followers.json
5.0,0.8957357406616211,47481112.0,18263413.0,data/meetup_members.json,data/twitter_followers.json
6.0,0.8887227773666382,17216461.0,75234745.0,data/meetup_members.json,data/twitter_followers.json
7.0,0.8865002989768982,12870181.0,5114131.0,data/meetup_members.json,data/twitter_followers.json
8.0,0.8855370879173279,91624492.0,442751368.0,data/meetup_members.json,data/twitter_followers.json
9.0,0.8820593953132629,11591960.0,50703.0,data/meetup_members.json,data/twitter_followers.json
10.0,0.8746326565742493,93564262.0,23753453.0,data/meetup_members.json,data/twitter_followers.json
11.0,0.8671162128448486,24759522.0,11080742.0,data/meetup_members.json,data/twitter_followers.json
12.0,0.8634988069534302,168153482.0,186910846.0,data/meetup_members.json,data/twitter_followers.json
13.0,0.8622440695762634,6253122.0,17406474.0,data/meetup_members.json,data/twitter_followers.json
14.0,0.8596014976501465,5133865.0,14336833.0,data/meetup_members.json,data/twitter_followers.json
15.0,0.8590114116668701,14632242.0,76600354.0,data/meetup_members.json,data/twitter_followers.json
16.0,0.8580565452575684,160220632.0,974358241.0,data/meetup_members.json,data/twitter_followers.json
17.0,0.8558892011642456,55130942.0,26984374.0,data/meetup_members.json,data/twitter_followers.json
18.0,0.8543103337287903,174637092.0,165027072.0,data/meetup_members.json,data/twitter_followers.json
19.0,0.8299483060836792,69063532.0,421699307.0,data/meetup_members.json,data/twitter_followers.json
20.0,0.8287487626075745,13852608.0,10255672.0,data/meetup_members.json,data/twitter_followers.json
21.0,0.8258772492408752,99917952.0,360634924.0,data/meetup_members.json,data/twitter_followers.json
22.0,0.8236579895019531,17411971.0,36437723.0,data/meetup_members.json,data/twitter_followers.json
